id_sesi,mata_kuliah,kelas,dosen,asisten,ruang_lab,peralatan_lab,inventaris_ruang_lab,hari,slot,warna_graph
L2-S013,Komputasi Awan,A,Dr. Yoga Ph.D. (D10),"['Budi (A11)', 'Eka (A19)']",Lab-C,"['Alat-09', 'Alat-10', 'Alat-11']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Senin,1,0
L2-S055,Sistem Digital,B,Dr. Kartika M.Eng. (D14),"['Lutfi (A12)', 'Zahra (A21)']",Lab-B,['Alat-04'],"[{'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-64E75222E657', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-EC48D3B81462', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-4398557E1EFA', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-6FBA73BB0483', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-281180E64D29', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-595AD0C1018D', 'kondisi': 'Baik'}]",Senin,1,0
L2-S004,Pemrograman Mobile,A,"Dr. Umi S.Kom., M.Kom. (D15)",['Vina (A09)'],Lab-D,['Alat-03'],"[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-4CE596856B72', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-33966505A892', 'kondisi': 'Baik'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-779143C98301', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-73FA5401F8C3', 'kondisi': 'Baik'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-BD7E92E4E868', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-4FCF88C8FE7A', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-027A6C806A42', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-BA430D5D48D0', 'kondisi': 'Baik'}]",Senin,2,0
L2-S025,Pemrograman Mobile,B,Dr. Yoga M.Eng. (D12),['Indah (A06)'],Lab-A,['Alat-06'],"[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Senin,3,0
L2-S064,Grafika Komputer,B,"Dr. Adi S.Kom., M.Kom. (D05)",['Putri (A15)'],Lab-E,"['Alat-01', 'Alat-02', 'Alat-12']","[{'nama_alat': 'Rak Peralatan', 'rfid': 'RFID-A3B5D0584693', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-4BF1E271E48F', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-90122A6EB39F', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-3E015DEF35DC', 'kondisi': 'Dalam Perawatan'}]",Senin,4,0
L2-S057,Pemrograman Mobile,A,Dr. Farhan M.Cs. (D08),['Taufik (A04)'],Lab-F,['Alat-07'],"[{'nama_alat': 'Sound System', 'rfid': 'RFID-3455CB807522', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-B38B0D466021', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-DA3C8BB31CA0', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-AFD9ADEF246F', 'kondisi': 'Baik'}]",Senin,5,0
L2-S049,Pemrograman Web,B,"Dr. Adi S.T., M.T. (D07)",['Putri (A16)'],Lab-G,"['Alat-13', 'Alat-14']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-21D601430B04', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-953C5C042370', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-2D0045FB696E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-6A9806D6ABC6', 'kondisi': 'Baik'}]",Senin,6,0
L2-S044,Keamanan Jaringan,B,Dr. Farhan M.Cs. (D08),"['Budi (A11)', 'Indah (A20)']",Lab-A,"['Alat-08', 'Alat-10', 'Alat-12']","[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Senin,7,1
L2-S027,Struktur Data,A,Dr. Dewi M.Cs. (D06),['Putri (A16)'],Lab-B,['Alat-14'],"[{'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-64E75222E657', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-EC48D3B81462', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-4398557E1EFA', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-6FBA73BB0483', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-281180E64D29', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-595AD0C1018D', 'kondisi': 'Baik'}]",Senin,7,1
L2-S043,Data Mining,B,"Dr. Adi S.Kom., M.Kom. (D05)",['Vina (A09)'],Lab-C,"['Alat-03', 'Alat-11']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Senin,8,1
