id_sesi,mata_kuliah,kelas,dosen,asisten,ruang_lab,peralatan_lab,hari,slot,warna_graph
L3-S072,Grafika Komputer,B,"Dr. Adi S.T., M.T. (D06)",['Nanda (A07)'],Lab-E,"['Alat-09', 'Alat-13', 'Alat-15']",Senin,1,0
L3-S001,Basis Data,A,Dr. Gita Ph.D. (D12),"['Kartika (A05)', 'Yoga (A21)']",Lab-A,"['Alat-08', 'Alat-16']",Senin,1,0
L3-S037,Kecerdasan Buatan,C,Dr. Eka M.Eng. (D10),"['Kartika (A01)', 'Maya (A12)']",Lab-H,"['Alat-01', 'Alat-03']",Senin,2,0
L3-S003,Keamanan Jaringan,C,Dr. Indah Ph.D. (D01),['Umi (A20)'],Lab-I,"['Alat-05', 'Alat-06', 'Alat-10']",Senin,3,0
L3-S041,Multimedia,B,Dr. Citra M.Cs. (D13),"['Kartika (A10)', 'Sari (A17)']",Lab-G,"['Alat-04', 'Alat-14']",Senin,4,0
L3-S051,Robotika,C,"Dr. Adi S.T., M.T. (D06)",['Umi (A20)'],Lab-G,"['Alat-03', 'Alat-15', 'Alat-16']",Senin,5,1
L3-S073,Multimedia,C,Dr. Putri M.Eng. (D02),['Indah (A02)'],Lab-E,['Alat-12'],Senin,5,1
L3-S062,Data Mining,B,Dr. Citra Ph.D. (D05),"['Sari (A17)', 'Vina (A22)']",Lab-H,"['Alat-05', 'Alat-08']",Senin,6,1
L3-S007,Pemrograman Web,A,Dr. Citra M.Eng. (D03),['Indah (A23)'],Lab-C,['Alat-13'],Senin,6,1
L3-S014,Mikrokontroler,A,Dr. Citra M.Cs. (D13),['Kartika (A11)'],Lab-D,"['Alat-01', 'Alat-06', 'Alat-07']",Senin,7,1
L3-S005,Algoritma & Pemrograman,B,"Dr. Yoga S.T., M.T. (D15)","['Nanda (A07)', 'Rama (A15)']",Lab-F,"['Alat-04', 'Alat-09', 'Alat-11']",Senin,8,1
L3-S066,Sistem Digital,A,"Dr. Adi S.T., M.T. (D06)","['Nanda (A07)', 'Sari (A17)']",Lab-H,"['Alat-01', 'Alat-13']",Senin,9,2
L3-S028,Multimedia,B,"Dr. Kartika S.T., M.T. (D04)","['Adi (A09)', 'Zahra (A04)']",Lab-E,['Alat-03'],Senin,9,2
L3-S048,Kecerdasan Buatan,C,"Dr. Yoga S.T., M.T. (D15)",['Wira (A16)'],Lab-B,"['Alat-09', 'Alat-14', 'Alat-15']",Senin,10,2
L3-S013,Keamanan Jaringan,B,Dr. Putri M.Eng. (D02),"['Citra (A08)', 'Yoga (A13)']",Lab-G,"['Alat-02', 'Alat-06', 'Alat-16']",Selasa,1,2
L3-S038,Rekayasa Perangkat Lunak,A,"Dr. Zahra S.Kom., M.Kom. (D11)",['Sari (A17)'],Lab-E,"['Alat-03', 'Alat-15']",Selasa,2,3
L3-S055,Rekayasa Perangkat Lunak,A,"Dr. Kartika S.T., M.T. (D04)","['Kartika (A10)', 'Nanda (A07)']",Lab-F,"['Alat-06', 'Alat-11', 'Alat-16']",Selasa,2,3
L3-S079,Algoritma & Pemrograman,A,Dr. Gita Ph.D. (D12),"['Citra (A08)', 'Vina (A22)']",Lab-G,"['Alat-01', 'Alat-04', 'Alat-13']",Selasa,3,3
L3-S045,Multimedia,C,Dr. Citra M.Cs. (D13),['Maya (A12)'],Lab-H,"['Alat-08', 'Alat-14']",Selasa,4,3
L3-S043,Machine Learning,C,"Dr. Adi S.T., M.T. (D06)","['Maya (A12)', 'Taufik (A24)']",Lab-G,"['Alat-11', 'Alat-15']",Selasa,5,4
L3-S075,Basis Data,A,Dr. Citra M.Eng. (D03),['Nanda (A07)'],Lab-D,['Alat-14'],Selasa,5,4
L3-S042,Keamanan Jaringan,B,"Dr. Budi S.Kom., M.Kom. (D16)","['Indah (A02)', 'Yoga (A21)']",Lab-H,['Alat-08'],Selasa,6,4
L3-S067,Komputasi Awan,B,"Dr. Yoga S.T., M.T. (D15)",['Sari (A17)'],Lab-F,['Alat-03'],Selasa,6,4
L3-S065,Rekayasa Perangkat Lunak,C,"Dr. Joko S.T., M.T. (D07)",['Citra (A08)'],Lab-A,"['Alat-01', 'Alat-05', 'Alat-12']",Selasa,7,4
L3-S053,Mikrokontroler,C,Dr. Indah Ph.D. (D01),['Wira (A16)'],Lab-I,['Alat-06'],Selasa,8,4
